provincia,partido,localidad,suma_mb,count_suma_mb,adsl,cablemodem,dialup,fibraoptica,otros,satelital,wimax,wireless,total general,poblacion,telefoniafija,3g,4g,latitud,longitud
buenos aires,castelli,cerro de la gloria,7.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,,,,,,
buenos aires,chacabuco,castilla,274.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274.0,274.0,,,,,,
buenos aires,chacabuco,chacabuco,1542.0,13.0,925.0,9896.0,16.0,14.0,16.0,0.0,0.0,2.0,10869.0,,,,,,
buenos aires,chacabuco,o'higgins,161.0,2.0,54.0,95.0,0.0,0.0,0.0,0.0,0.0,12.0,161.0,,,,,,
buenos aires,chacabuco,rawson,532.0,8.0,73.0,0.0,0.0,303.0,28.0,0.0,0.0,128.0,532.0,,,,,,
buenos aires,chascomús,barrio san cayetano,131.0,4.0,0.0,0.0,0.0,132.0,0.0,0.0,0.0,0.0,132.0,,,,,,
buenos aires,chascomús,chascomús,4961.0,15.0,2159.0,7510.0,85.0,1159.0,85.0,1.0,0.0,0.0,10999.0,,,,,,
buenos aires,chascomús,manuel j. cobo  (est. lezama),775.0,8.0,104.0,1718.0,0.0,0.0,0.0,0.0,444.0,0.0,2266.0,,,,,,
buenos aires,chivilcoy,chivilcoy,4122.0,15.0,2628.0,9147.0,119.0,815.0,119.0,1.0,0.0,3172.0,16001.0,,,,,,
buenos aires,chivilcoy,gorostiaga,56.0,2.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,57.0,,,,,,
buenos aires,chivilcoy,la rica,88.0,9.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,136.0,,,,,,
buenos aires,chivilcoy,moquehuá,367.0,7.0,0.0,338.0,0.0,546.0,0.0,0.0,0.0,29.0,913.0,,,,,,
buenos aires,chivilcoy,ramón biaus,42.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,50.0,,,,,,
buenos aires,chivilcoy,san sebastián,52.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,52.0,,,,,,
buenos aires,colón,colón,2649.0,13.0,4143.0,1588.0,0.0,1794.0,0.0,0.0,0.0,20.0,7545.0,,,,,,
buenos aires,colón,pearson,69.0,2.0,,,,,,,,,,,,,,,
buenos aires,colón,sarasa,15.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,,,,,,
buenos aires,coronel de marina l. rosales,bajo hondo,71.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,74.0,,,,,,
buenos aires,coronel de marina l. rosales,balneario pehuen co,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,681.0,1.0,1.0,1.0,-38.9961963948629,-61.5471990087107
buenos aires,coronel de marina l. rosales,pago chico,62.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,62.0,,,,,,
buenos aires,coronel de marina l. rosales,punta alta  (est almirante solier),1178.0,13.0,852.0,20293.0,48.0,5.0,0.0,6.0,0.0,0.0,21204.0,,,,,,
buenos aires,coronel de marina l. rosales,villa general arias  (est. kilómetro 638),10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,,,,,,
buenos aires,coronel dorrego,balneario marisol,342.0,3.0,0.0,0.0,0.0,342.0,0.0,0.0,0.0,0.0,342.0,,,,,,
buenos aires,coronel dorrego,coronel dorrego,1431.0,12.0,228.0,1160.0,3.0,1.0,0.0,0.0,0.0,32.0,1424.0,,,,,,
buenos aires,coronel dorrego,el perdido  (est. josé a. guisasola),5.0,1.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,5.0,37.0,,,,,,
buenos aires,coronel dorrego,oriente,634.0,6.0,0.0,0.0,0.0,586.0,0.0,0.0,0.0,48.0,634.0,,,,,,
buenos aires,coronel pringles,coronel pringles  (est. pringles),1035.0,9.0,649.0,2056.0,3.0,5.0,0.0,0.0,0.0,171.0,2884.0,,,,,,
buenos aires,coronel pringles,indio rico,27.0,2.0,0.0,0.0,1.0,24.0,0.0,0.0,0.0,3.0,28.0,,,,,,
buenos aires,coronel suárez,coronel suárez,1502.0,10.0,817.0,2427.0,88.0,1609.0,88.0,0.0,0.0,785.0,5814.0,,,,,,
buenos aires,coronel suárez,huanguelén,636.0,6.0,0.0,0.0,1.0,1384.0,0.0,0.0,0.0,527.0,1912.0,,,,,,
buenos aires,coronel suárez,pasman,48.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,48.0,,,,,,
buenos aires,coronel suárez,san josé,750.0,6.0,0.0,45.0,0.0,706.0,0.0,0.0,0.0,0.0,751.0,,,,,,
buenos aires,coronel suárez,santa maría,481.0,5.0,0.0,18.0,0.0,465.0,0.0,0.0,0.0,0.0,483.0,,,,,,
buenos aires,coronel suárez,santa trinidad,614.0,6.0,0.0,65.0,0.0,550.0,0.0,0.0,0.0,0.0,615.0,,,,,,
buenos aires,coronel suárez,villa la arcadia,176.0,6.0,0.0,104.0,0.0,72.0,0.0,0.0,0.0,0.0,176.0,,,,,,
buenos aires,daireaux,daireaux,869.0,5.0,281.0,0.0,0.0,0.0,194.0,50.0,0.0,339.0,864.0,,,,,,
buenos aires,daireaux,salazar,79.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,79.0,,,,,,
buenos aires,dolores,dolores,3789.0,13.0,1575.0,10215.0,1.0,8.0,0.0,0.0,325.0,0.0,12124.0,,,,,,
buenos aires,dolores,sevigne,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,286.0,1.0,1.0,1.0,-36.2067284269712,-57.7413707296745
buenos aires,ensenada,ensenada,3100.0,20.0,1534.0,10765.0,17.0,2923.0,6.0,0.0,0.0,2092.0,17337.0,,,,,,
buenos aires,ensenada,villa catela,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,,,,,,
buenos aires,escobar,belen de escobar,1640.0,13.0,2964.0,17071.0,21.0,8652.0,333.0,1.0,0.0,97.0,29139.0,,,,,,
buenos aires,escobar,el cazador,711.0,7.0,0.0,971.0,0.0,2226.0,0.0,0.0,0.0,0.0,3197.0,,,,,,
buenos aires,escobar,garín,3111.0,16.0,4638.0,9481.0,3.0,3422.0,2.0,1.0,0.0,11.0,17558.0,,,,,,
buenos aires,escobar,ingeniero maschwitz,1977.0,17.0,1126.0,4227.0,3.0,2969.0,1.0,0.0,0.0,300.0,8626.0,,,,,,
buenos aires,escobar,loma verde,830.0,3.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,999.0,,,,,,
buenos aires,escobar,maquinista f. savio (este),1442.0,13.0,533.0,4392.0,0.0,13.0,2.0,0.0,0.0,14.0,4954.0,,,,,,
buenos aires,escobar,matheu,3342.0,19.0,1390.0,2515.0,2.0,1.0,3.0,1.0,0.0,58.0,3970.0,,,,,,
buenos aires,esteban echeverría,9 de abril,1288.0,15.0,237.0,6483.0,6.0,12.0,1.0,0.0,0.0,153.0,6892.0,,,,,,
buenos aires,esteban echeverría,canning,1301.0,13.0,3.0,3488.0,0.0,1049.0,1.0,0.0,0.0,94.0,4635.0,,,,,,
buenos aires,esteban echeverría,el jagüel,985.0,12.0,0.0,6691.0,0.0,5.0,2.0,1.0,0.0,89.0,6788.0,,,,,,
buenos aires,esteban echeverría,luis guillón,931.0,13.0,4.0,7207.0,2.0,1757.0,1.0,0.0,0.0,77.0,9048.0,,,,,,
buenos aires,esteban echeverría,monte grande,1933.0,17.0,211.0,27688.0,61.0,24799.0,70.0,4.0,0.0,312.0,53145.0,,,,,,
buenos aires,esteban echeverría,zona aeropuerto internacional ezeiza,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,
buenos aires,exaltación de la cruz,arroyo de la cruz,202.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,92.0,,,,,,
buenos aires,exaltación de la cruz,capilla del señor  (est. capilla),444.0,6.0,359.0,0.0,6.0,82.0,0.0,0.0,0.0,0.0,447.0,,,,,,
buenos aires,exaltación de la cruz,los cardales,992.0,5.0,2.0,7166.0,2.0,0.0,0.0,1.0,0.0,0.0,7171.0,,,,,,
buenos aires,exaltación de la cruz,parada orlando,10.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,30.0,31.0,,,,,,
buenos aires,exaltación de la cruz,parada robles - pavón,675.0,4.0,2709.0,0.0,0.0,235.0,0.0,0.0,0.0,0.0,2944.0,,,,,,
buenos aires,ezeiza,aeropuerto internacional ezeiza,240.0,12.0,224.0,0.0,3.0,4.0,0.0,1.0,0.0,0.0,232.0,,,,,,
buenos aires,ezeiza,canning,2436.0,16.0,194.0,1722.0,1.0,1030.0,1.0,0.0,0.0,50.0,2998.0,,,,,,
buenos aires,ezeiza,carlos spegazzini,1900.0,12.0,343.0,5545.0,2.0,1349.0,164.0,1.0,0.0,1.0,7405.0,,,,,,
