año,trimestre,provincia,accesos por cada 100 hogares,banda ancha fija,dial up,total,adsl,cablemodem,fibra óptica,wireless,otros,total_fijo_xtipo_tecnologia_provincia,mbps (media de bajada),total_internet_fijo_provincias,suma_mb,count_suma_mb
2020,4,santa fe,"73,58",820676.0,137,820813.0,287271,414746,62692,38712,17392,820813.0,"27,29",820813.0,2434.0,14.0
2020,4,santiago del estero,"43,75",106668.0,1,106669.0,26812,70522,570,5169,3596,106669.0,"11,28",106669.0,5153.0,11.0
2020,4,tierra del fuego,"76,27",39325.0,289,39614.0,12853,26439,6,0,316,39614.0,"8,49",39614.0,2719.0,17.0
2020,4,tucumán,"54,78",231067.0,22,231089.0,149322,11150,68043,1834,740,231089.0,"36,44",231089.0,1803.0,16.0
2020,3,buenos aires,"67,66",3932211.0,5066,3937277.0,653930,2384557,749087,94162,55541,3937277.0,"48,38",3937277.0,3784.0,29.0
2020,3,capital federal,"107,68",1371285.0,1390,1372675.0,170375,1129573,39417,3936,29374,1372675.0,"63,81",1372675.0,1091.0,22.0
2020,3,catamarca,"47,16",49903.0,1,49904.0,26868,3690,16857,261,2228,49904.0,"36,54",49904.0,2239.0,10.0
2020,3,chaco,"41,54",133951.0,3,133954.0,45745,58825,20675,6706,2003,133954.0,"30,8",133954.0,2679.0,10.0
2020,3,chubut,"68,34",129202.0,825,130027.0,45761,39386,2897,23216,18767,130027.0,"7,4",130027.0,3680.0,12.0
2020,3,córdoba,"75,22",867417.0,55,867472.0,276360,430771,102217,48368,9756,867472.0,"33,51",867472.0,482.0,16.0
2020,3,corrientes,"41,75",123388.0,3,123391.0,50858,58681,2960,5513,5379,123391.0,"23,85",123391.0,2277.0,5.0
2020,3,entre ríos,"58,19",241482.0,13,241495.0,87892,106950,13954,20379,12320,241495.0,"22,43",241495.0,1818.0,7.0
2020,3,formosa,"31,91",49209.0,- 0,49209.0,21790,10003,2000,15023,393,49209.0,"18,28",49209.0,2745.0,8.0
2020,3,jujuy,"54,04",106728.0,- 0,106728.0,32611,57682,11112,952,4371,106728.0,"21,91",106728.0,1680.0,9.0
2020,3,la pampa,"79,26",93619.0,116,93735.0,9015,56845,14677,11893,1305,93735.0,"10,7",93735.0,1261.0,13.0
2020,3,la rioja,"50,12",52613.0,3,52616.0,17346,34984,1,250,35,52616.0,"12,19",52616.0,1380.0,6.0
